pitch,yoffset_layer,yoffset_plane,zshift_layer,zshift_plane,zshift_view,alpha,objective
3.6,1.9,1.3,1.6,4.2,10.0,5.0,0.998795180723
3.6,1.9,1.3,1.8,4.2,10.0,5.0,1.0
3.6,1.8,1.2,1.8,4.4,10.0,5.0,1.0
3.6,1.8,0.9,1.8,4.2,10.0,5.0,1.0
3.6,1.81362,0.96872,1.98391,5.93714,10.0,5.0,1.0
3.6,1.9,1.3,1.6,4.2,10.0,5.0,1.0
3.6,1.9,1.3,1.8,4.2,10.0,5.0,0.998913043478
3.6,1.8,1.2,1.8,4.4,10.0,5.0,1.0
3.6,1.8,0.9,1.8,4.2,10.0,5.0,1.0
3.6,1.81362,0.96872,1.98391,5.93714,10.0,5.0,0.998812351544
3.6,1.9,1.3,1.6,4.2,10.0,5.0,1.0
3.6,1.9,1.3,1.8,4.2,10.0,5.0,0.998917748918
3.6,1.8,1.2,1.8,4.4,10.0,5.0,1.0
3.6,1.8,0.9,1.8,4.2,10.0,5.0,1.0
3.6,1.81362,0.96872,1.98391,5.93714,10.0,5.0,1.0
3.6,1.9,1.3,1.6,4.2,10.0,5.0,1.0
3.6,1.9,1.3,1.8,4.2,10.0,5.0,1.0
3.6,1.8,1.2,1.8,4.4,10.0,5.0,1.0
3.6,1.8,0.9,1.8,4.2,10.0,5.0,1.0
3.6,1.81362,0.96872,1.98391,5.93714,10.0,5.0,1.0
3.6,1.9,1.3,1.6,4.2,10.0,5.0,0.996717724289
3.6,1.9,1.3,1.8,4.2,10.0,5.0,0.998908296943
3.6,1.8,1.2,1.8,4.4,10.0,5.0,1.0
3.6,1.8,0.9,1.8,4.2,10.0,5.0,1.0
3.6,1.81362,0.96872,1.98391,5.93714,10.0,5.0,1.0
3.6,1.9,1.3,1.6,4.2,10.0,5.0,1.0
3.6,1.9,1.3,1.8,4.2,10.0,5.0,0.998831775701
3.6,1.8,1.2,1.8,4.4,10.0,5.0,1.0
3.6,1.8,0.9,1.8,4.2,10.0,5.0,0.998863636364
3.6,1.81362,0.96872,1.98391,5.93714,10.0,5.0,1.0
3.6,1.9,1.3,1.6,4.2,10.0,5.0,1.0
3.6,1.9,1.3,1.8,4.2,10.0,5.0,1.0
3.6,1.8,1.2,1.8,4.4,10.0,5.0,1.0
3.6,1.8,0.9,1.8,4.2,10.0,5.0,0.998871331828
3.6,1.81362,0.96872,1.98391,5.93714,10.0,5.0,1.0
3.6,1.9,1.3,1.6,4.2,10.0,5.0,0.998915401302
3.6,1.9,1.3,1.8,4.2,10.0,5.0,1.0
3.6,1.8,1.2,1.8,4.4,10.0,5.0,1.0
3.6,1.8,0.9,1.8,4.2,10.0,5.0,1.0
3.6,1.81362,0.96872,1.98391,5.93714,10.0,5.0,1.0
3.6,1.9,1.3,1.6,4.2,10.0,5.0,1.0
3.6,1.9,1.3,1.8,4.2,10.0,5.0,0.998947368421
3.6,1.8,1.2,1.8,4.4,10.0,5.0,1.0
3.6,1.8,0.9,1.8,4.2,10.0,5.0,1.0
3.6,1.81362,0.96872,1.98391,5.93714,10.0,5.0,1.0
3.6,1.9,1.3,1.6,4.2,10.0,5.0,1.0
3.6,1.9,1.3,1.8,4.2,10.0,5.0,0.998858447489
3.6,1.8,1.2,1.8,4.4,10.0,5.0,1.0
3.6,1.8,0.9,1.8,4.2,10.0,5.0,1.0
3.6,1.81362,0.96872,1.98391,5.93714,10.0,5.0,1.0
