event_id,det_id,xtop,ytop,z,xbot,ybot
0.0,30002268.0,249.9992,44.4,3321.15,-249.9992,44.4
0.0,30012268.0,249.9992,45.28,3322.25,-249.9992,45.28
0.0,30112268.0,249.9992,44.84,3324.85,-249.9992,44.84
0.0,31012256.0,243.323488384,87.218933733,3332.25,-254.772266751,43.6412018083
0.0,31102255.0,243.290369201,87.5974877183,3333.75,-254.805385933,44.0197557936
0.0,32002278.0,251.435944918,5.50686876539,3341.15,-246.659810216,49.08460069
0.0,32102278.0,251.397596392,5.06854309823,3343.75,-246.698158743,48.6462750229
0.0,32112278.0,251.474293445,5.94519443255,3344.85,-246.621461689,49.5229263572
0.0,33012266.0,249.9992,48.68,3352.25,-249.9992,48.68
0.0,33102265.0,249.9992,49.06,3353.75,-249.9992,49.06
0.0,40002252.0,249.9992,71.6,3521.15,-249.9992,71.6
0.0,40112252.0,249.9992,72.04,3524.85,-249.9992,72.04
0.0,41012240.0,240.952852181,114.315429521,3532.25,-257.142902954,70.7376975964
0.0,41102239.0,240.919732999,114.693983506,3533.75,-257.176022136,71.1162515817
0.0,42002262.0,253.806581121,32.6033645535,3541.15,-244.289174013,76.1810964781
0.0,42112262.0,253.844929648,33.0416902206,3544.85,-244.250825486,76.6194221453
0.0,43012250.0,249.9992,75.88,3552.25,-249.9992,75.88
0.0,43102249.0,249.9992,76.26,3553.75,-249.9992,76.26
1.0,10012204.0,225.012214055,110.856226925,2582.25,-225.012214055,110.856226925
1.0,10102203.0,225.012214055,111.236226925,2583.75,-225.012214055,111.236226925
1.0,11012209.0,215.235041665,121.577837222,2592.25,-233.07690763,82.3556239359
1.0,11102208.0,215.201922483,121.956391208,2593.75,-233.110026812,82.7341779212
1.0,11112209.0,215.273390192,121.139511555,2594.85,-233.038559103,81.9172982687
1.0,12002199.0,234.481858203,98.4142824691,2601.15,-213.830091092,137.636495756
1.0,12102199.0,234.443509676,97.975956802,2603.75,-213.868439619,137.198170089
1.0,13012204.0,225.012214055,110.856226925,2612.25,-225.012214055,110.856226925
1.0,13112204.0,225.012214055,110.416226925,2614.85,-225.012214055,110.416226925
1.0,20012206.0,225.012214055,107.456226925,2782.25,-225.012214055,107.456226925
1.0,20102205.0,225.012214055,107.836226925,2783.75,-225.012214055,107.836226925
1.0,21002210.0,215.459903481,119.007654901,2791.15,-232.852045814,79.7854416148
1.0,21112210.0,215.421554955,119.445980569,2794.85,-232.890394341,80.223767282
1.0,22002202.0,234.037363915,93.3336895089,2801.15,-214.27458538,132.555902795
1.0,22112202.0,234.075712442,93.772015176,2804.85,-214.236236853,132.994228463
1.0,23002206.0,225.012214055,106.576226925,2811.15,-225.012214055,106.576226925
1.0,23112206.0,225.012214055,107.016226925,2814.85,-225.012214055,107.016226925
1.0,30002250.0,249.9992,75.0,3321.15,-249.9992,75.0
1.0,30102250.0,249.9992,74.56,3323.75,-249.9992,74.56
1.0,31002253.0,242.955691149,91.4228753589,3331.15,-255.140063985,47.8451434343
1.0,31112253.0,242.917342622,91.8612010261,3334.85,-255.178412512,48.2834691015
1.0,32002249.0,255.732723036,54.6192673813,3341.15,-242.363032098,98.196999306
1.0,32012250.0,255.661255327,53.8023877289,3342.25,-242.434499807,97.3801196535
1.0,32102249.0,255.694374509,54.1809417142,3343.75,-242.401380625,97.7586736388
1.0,32112250.0,255.6229068,53.3640620617,3344.85,-242.472848334,96.9417939864
1.0,33112252.0,249.9992,72.04,3354.85,-249.9992,72.04
1.0,40012263.0,249.9992,53.78,3522.25,-249.9992,53.78
1.0,40112263.0,249.9992,53.34,3524.85,-249.9992,53.34
1.0,41012265.0,244.656971248,71.9771548522,3532.25,-253.438783887,28.3994229275
1.0,41112265.0,244.695319774,71.538829185,3534.85,-253.40043536,27.9610972604
1.0,42012263.0,253.735113412,31.7864849011,3542.25,-244.360641722,75.3642168257
1.0,42112263.0,253.696764885,31.3481592339,3544.85,-244.398990249,74.9258911585
1.0,43012265.0,249.9992,50.38,3552.25,-249.9992,50.38
1.0,43112265.0,249.9992,49.94,3554.85,-249.9992,49.94
1.0,10012193.0,225.012214055,129.556226925,2582.25,-225.012214055,129.556226925
1.0,10102192.0,225.012214055,129.936226925,2583.75,-225.012214055,129.936226925
1.0,11002202.0,214.27458538,132.555902795,2591.15,-234.037363915,93.3336895089
1.0,11102202.0,214.312933907,132.117577128,2593.75,-233.999015388,92.8953638417
1.0,11112202.0,214.236236853,132.994228463,2594.85,-234.075712442,93.772015176
1.0,12002183.0,236.852494406,125.510778257,2601.15,-211.459454889,164.732991544
1.0,12112183.0,236.890842933,125.949103924,2604.85,-211.421106363,165.171317211
1.0,13002192.0,225.012214055,130.376226925,2611.15,-225.012214055,130.376226925
1.0,13102192.0,225.012214055,129.936226925,2613.75,-225.012214055,129.936226925
1.0,20012191.0,225.012214055,132.956226925,2782.25,-225.012214055,132.956226925
1.0,20102190.0,225.012214055,133.336226925,2783.75,-225.012214055,133.336226925
1.0,20112191.0,225.012214055,132.516226925,2784.85,-225.012214055,132.516226925
1.0,21012201.0,214.049723564,135.126085116,2792.25,-234.262225732,95.9038718299
1.0,21102200.0,214.016604382,135.504639102,2793.75,-234.295344914,96.2824258152
1.0,22002181.0,237.148823931,128.897840231,2801.15,-211.163125364,168.120053517
1.0,22112181.0,237.187172458,129.336165898,2804.85,-211.124776837,168.558379184
1.0,23002190.0,225.012214055,133.776226925,2811.15,-225.012214055,133.776226925
1.0,23012191.0,225.012214055,132.956226925,2812.25,-225.012214055,132.956226925
1.0,23102190.0,225.012214055,133.336226925,2813.75,-225.012214055,133.336226925
1.0,30002210.0,249.9992,143.0,3321.15,-249.9992,143.0
1.0,30112210.0,249.9992,143.44,3324.85,-249.9992,143.44
1.0,31012221.0,238.13772169,146.492518269,3332.25,-259.958033444,102.914786345
1.0,31102220.0,238.104602508,146.871072255,3333.75,-259.991152627,103.29334033
1.0,31112221.0,238.176070217,146.054192602,3334.85,-259.919684918,102.476460678
1.0,32012200.0,263.06949346,138.478937067,3342.25,-235.026261674,182.056668991
1.0,32102199.0,263.102612643,138.857491052,3343.75,-234.993142492,182.435222977
1.0,33012210.0,249.9992,143.88,3352.25,-249.9992,143.88
1.0,33102209.0,249.9992,144.26,3353.75,-249.9992,144.26
1.0,40002207.0,249.9992,148.1,3521.15,-249.9992,148.1
1.0,40102207.0,249.9992,147.66,3523.75,-249.9992,147.66
1.0,41002218.0,237.769924456,150.696459895,3531.15,-260.325830679,107.118727971
1.0,41102218.0,237.808272982,150.258134228,3533.75,-260.287482152,106.680402304
1.0,42012197.0,263.513987748,143.559530027,3542.25,-234.581767386,187.137261952
1.0,42102196.0,263.547106931,143.938084012,3543.75,-234.548648204,187.515815937
1.0,42112197.0,263.475639222,143.12120436,3544.85,-234.620115913,186.698936284
1.0,43002207.0,249.9992,148.1,3551.15,-249.9992,148.1
1.0,43012207.0,249.9992,148.98,3552.25,-249.9992,148.98
1.0,43112207.0,249.9992,148.54,3554.85,-249.9992,148.54
3.0,10002447.0,225.012214055,-303.123773075,2581.15,-225.012214055,-303.123773075
3.0,10102447.0,225.012214055,-303.563773075,2583.75,-225.012214055,-303.563773075
3.0,11012446.0,250.350090418,-279.789006639,2592.25,-197.961858877,-319.011219925
3.0,11102445.0,250.316971236,-279.410452653,2593.75,-197.994978059,-318.63266594
3.0,12002448.0,197.588832298,-323.274933233,2601.15,-250.723116997,-284.052719947
3.0,12102448.0,197.550483771,-323.7132589,2603.75,-250.761465524,-284.491045614
3.0,13002448.0,225.012214055,-304.823773075,2611.15,-225.012214055,-304.823773075
3.0,13112448.0,225.012214055,-304.383773075,2614.85,-225.012214055,-304.383773075
3.0,20012452.0,225.012214055,-310.743773075,2782.25,-225.012214055,-310.743773075
3.0,20112452.0,225.012214055,-311.183773075,2784.85,-225.012214055,-311.183773075
3.0,21012450.0,250.942749469,-286.563130586,2792.25,-197.369199826,-325.785343872
3.0,21102449.0,250.909630287,-286.1845766,2793.75,-197.402319009,-325.406789887
3.0,21112450.0,250.981097996,-287.001456253,2794.85,-197.3308513,-326.223669539
3.0,22002453.0,196.848008485,-331.742588167,2801.15,-251.463940811,-292.52037488
3.0,22112453.0,196.886357012,-331.3042625,2804.85,-251.425592284,-292.082049213
3.0,23002452.0,225.012214055,-311.623773075,2811.15,-225.012214055,-311.623773075
3.0,23102452.0,225.012214055,-312.063773075,2813.75,-225.012214055,-312.063773075
3.0,30012486.0,249.9992,-325.32,3322.25,-249.9992,-325.32
3.0,30102485.0,249.9992,-324.94,3323.75,-249.9992,-324.94
3.0,31002482.0,276.885421801,-296.395720608,3331.15,-221.210333334,-339.973452533
3.0,31012483.0,276.95688951,-297.212600261,3332.25,-221.138865625,-340.790332185
3.0,31102482.0,276.923770328,-296.834046275,3333.75,-221.171984807,-340.4117782
3.0,32012488.0,220.398041811,-349.257987119,3342.25,-277.697713323,-305.680255194
3.0,32102487.0,220.431160993,-348.879433134,3343.75,-277.664594141,-305.301701209
3.0,33012486.0,249.9992,-325.32,3352.25,-249.9992,-325.32
3.0,33112486.0,249.9992,-325.76,3354.85,-249.9992,-325.76
3.0,40002487.0,249.9992,-327.9,3521.15,-249.9992,-327.9
3.0,40102487.0,249.9992,-328.34,3523.75,-249.9992,-328.34
3.0,41012484.0,277.105054273,-298.906131247,3532.25,-220.990700862,-342.483863172
3.0,41112484.0,277.143402799,-299.344456915,3534.85,-220.952352335,-342.922188839
3.0,42012490.0,220.101712286,-352.645049093,3542.25,-277.994042849,-309.067317168
3.0,42102489.0,220.134831468,-352.266495107,3543.75,-277.960923666,-308.688763183
3.0,43012488.0,249.9992,-328.72,3552.25,-249.9992,-328.72
3.0,43102487.0,249.9992,-328.34,3553.75,-249.9992,-328.34
4.0,10002291.0,225.012214055,-37.9237730752,2581.15,-225.012214055,-37.9237730752
4.0,10102291.0,225.012214055,-38.3637730752,2583.75,-225.012214055,-38.3637730752
4.0,11012302.0,229.014364594,-35.9205445459,2592.25,-219.297584702,-75.1427578324
4.0,11112302.0,229.05271312,-36.358870213,2594.85,-219.259236175,-75.5810834996
4.0,12012281.0,222.409044718,-39.5786071105,2602.25,-225.902904577,-0.356393823985
4.0,12102280.0,222.4421639,-39.2000531253,2603.75,-225.869785395,0.0221601612894
4.0,12112281.0,222.370696191,-40.0169327777,2604.85,-225.941253104,-0.794719491146
4.0,13002291.0,225.012214055,-37.9237730752,2611.15,-225.012214055,-37.9237730752
4.0,13102291.0,225.012214055,-38.3637730752,2613.75,-225.012214055,-38.3637730752
4.0,20002291.0,225.012214055,-37.9237730752,2781.15,-225.012214055,-37.9237730752
4.0,20102291.0,225.012214055,-38.3637730752,2783.75,-225.012214055,-38.3637730752
4.0,21002302.0,229.091061647,-36.7971958802,2791.15,-219.220887648,-76.0194091667
4.0,21112302.0,229.05271312,-36.358870213,2794.85,-219.259236175,-75.5810834996
4.0,22002280.0,222.480512427,-38.7617274581,2801.15,-225.831436868,0.46048582845
4.0,22012281.0,222.409044718,-39.5786071105,2802.25,-225.902904577,-0.356393823985
4.0,22102280.0,222.4421639,-39.2000531253,2803.75,-225.869785395,0.0221601612894
4.0,23002291.0,225.012214055,-37.9237730752,2811.15,-225.012214055,-37.9237730752
4.0,23102291.0,225.012214055,-38.3637730752,2813.75,-225.012214055,-38.3637730752
4.0,30002316.0,249.9992,-37.2,3321.15,-249.9992,-37.2
4.0,30102316.0,249.9992,-37.64,3323.75,-249.9992,-37.64
4.0,31012328.0,253.991351296,-34.7152973134,3332.25,-244.104403839,-78.2930292381
4.0,31102327.0,253.958232114,-34.3367433282,3333.75,-244.137523021,-77.9144752528
4.0,31112328.0,254.029699823,-35.1536229806,3334.85,-244.066055312,-78.7313549052
4.0,32012305.0,247.51219338,-39.3418165427,3342.25,-250.583561754,4.23591538194
4.0,32102304.0,247.545312562,-38.9632625574,3343.75,-250.550442572,4.61446936722
4.0,32112305.0,247.473844853,-39.7801422099,3344.85,-250.621910281,3.79758971478
4.0,33002316.0,249.9992,-37.2,3351.15,-249.9992,-37.2
4.0,33102316.0,249.9992,-37.64,3353.75,-249.9992,-37.64
4.0,40002316.0,249.9992,-37.2,3521.15,-249.9992,-37.2
4.0,40012316.0,249.9992,-36.32,3522.25,-249.9992,-36.32
4.0,40112316.0,249.9992,-36.76,3524.85,-249.9992,-36.76
4.0,41012328.0,253.991351296,-34.7152973134,3532.25,-244.104403839,-78.2930292381
4.0,41102327.0,253.958232114,-34.3367433282,3533.75,-244.137523021,-77.9144752528
4.0,42002304.0,247.583661089,-38.5249368903,3541.15,-250.512094045,5.05279503438
4.0,42112304.0,247.622009616,-38.0866112231,3544.85,-250.473745519,5.49112070154
4.0,43012316.0,249.9992,-36.32,3552.25,-249.9992,-36.32
4.0,43112316.0,249.9992,-36.76,3554.85,-249.9992,-36.76
4.0,22112308.0,218.370247599,-85.7422694201,2804.85,-229.941701696,-46.5200561336
4.0,23102301.0,225.012214055,-55.3637730752,2813.75,-225.012214055,-55.3637730752
4.0,23112302.0,225.012214055,-56.1837730752,2814.85,-225.012214055,-56.1837730752
4.0,23112323.0,225.012214055,-91.8837730752,2814.85,-225.012214055,-91.8837730752
4.0,23102323.0,225.012214055,-92.7637730752,2813.75,-225.012214055,-92.7637730752
4.0,23012325.0,225.012214055,-94.8437730752,2812.25,-225.012214055,-94.8437730752
4.0,22102335.0,214.293101953,-132.344257397,2803.75,-234.018847342,-93.1220441103
4.0,22012336.0,214.259982771,-132.722811382,2802.25,-234.051966524,-93.5005980956
4.0,21012316.0,231.088671271,-59.6299783604,2792.25,-217.223278024,-98.852191647
4.0,20112323.0,225.012214055,-91.8837730752,2784.85,-225.012214055,-91.8837730752
4.0,20102322.0,225.012214055,-91.0637730752,2783.75,-225.012214055,-91.0637730752
4.0,20012322.0,225.012214055,-89.7437730752,2782.25,-225.012214055,-89.7437730752
4.0,20002321.0,225.012214055,-88.9237730752,2781.15,-225.012214055,-88.9237730752
4.0,20002299.0,225.012214055,-51.5237730752,2781.15,-225.012214055,-51.5237730752
4.0,20102297.0,225.012214055,-48.5637730752,2783.75,-225.012214055,-48.5637730752
4.0,20112297.0,225.012214055,-47.6837730752,2784.85,-225.012214055,-47.6837730752
4.0,21002285.0,226.572260682,-8.00716910533,2791.15,-221.739688614,-47.2293823919
4.0,21112285.0,226.533912155,-7.56884343817,2794.85,-221.77803714,-46.7910567247
4.0,22002304.0,218.924558123,-79.4064711402,2801.15,-229.387391173,-40.1842578537
4.0,22102304.0,218.886209596,-79.8447968074,2803.75,-229.425739699,-40.6225835209
4.0,23002296.0,225.012214055,-46.4237730752,2811.15,-225.012214055,-46.4237730752
4.0,23112318.0,225.012214055,-83.3837730752,2814.85,-225.012214055,-83.3837730752
4.0,23102318.0,225.012214055,-84.2637730752,2813.75,-225.012214055,-84.2637730752
4.0,23012319.0,225.012214055,-84.6437730752,2812.25,-225.012214055,-84.6437730752
4.0,23002319.0,225.012214055,-85.5237730752,2811.15,-225.012214055,-85.5237730752
4.0,22112330.0,215.11062282,-122.999951129,2804.85,-233.201326475,-83.7777378422
4.0,22012330.0,215.148971347,-122.561625462,2802.25,-233.162977948,-83.339412175
4.0,21112309.0,230.089866459,-48.2135871203,2794.85,-218.222082836,-87.4358004069
4.0,21102308.0,230.01839875,-47.3967074679,2793.75,-218.293550545,-86.6189207544
4.0,21012308.0,229.90335317,-46.0817304664,2792.25,-218.408596126,-85.3039437529
4.0,20112314.0,225.012214055,-76.5837730752,2784.85,-225.012214055,-76.5837730752
4.0,20102313.0,225.012214055,-75.7637730752,2783.75,-225.012214055,-75.7637730752
4.0,20012312.0,225.012214055,-72.7437730752,2782.25,-225.012214055,-72.7437730752
4.0,20012311.0,225.012214055,-71.0437730752,2782.25,-225.012214055,-71.0437730752
4.0,20002309.0,225.012214055,-68.5237730752,2781.15,-225.012214055,-68.5237730752
4.0,20002308.0,225.012214055,-66.8237730752,2781.15,-225.012214055,-66.8237730752
4.0,20002307.0,225.012214055,-65.1237730752,2781.15,-225.012214055,-65.1237730752
4.0,20002306.0,225.012214055,-63.4237730752,2781.15,-225.012214055,-63.4237730752
4.0,20002305.0,225.012214055,-61.7237730752,2781.15,-225.012214055,-61.7237730752
4.0,20012304.0,225.012214055,-59.1437730752,2782.25,-225.012214055,-59.1437730752
4.0,20102301.0,225.012214055,-55.3637730752,2783.75,-225.012214055,-55.3637730752
4.0,20112301.0,225.012214055,-54.4837730752,2784.85,-225.012214055,-54.4837730752
4.0,21002287.0,226.868590207,-11.3942310788,2791.15,-221.443359088,-50.6164443654
4.0,21102286.0,226.758773971,-10.1390257592,2793.75,-221.553175324,-49.3612390458
4.0,22012305.0,218.853090414,-80.2233507927,2802.25,-229.458858882,-41.0011375061
4.0,22112305.0,218.814741887,-80.6616764598,2804.85,-229.497207408,-41.4394631733
4.0,23002297.0,225.012214055,-48.1237730752,2811.15,-225.012214055,-48.1237730752
4.0,23012298.0,225.012214055,-48.9437730752,2812.25,-225.012214055,-48.9437730752
4.0,23112299.0,225.012214055,-51.0837730752,2814.85,-225.012214055,-51.0837730752
4.0,23112316.0,225.012214055,-79.9837730752,2814.85,-225.012214055,-79.9837730752
4.0,23012317.0,225.012214055,-81.2437730752,2812.25,-225.012214055,-81.2437730752
4.0,23002317.0,225.012214055,-82.1237730752,2811.15,-225.012214055,-82.1237730752
4.0,22112326.0,215.703281871,-116.225827182,2804.85,-232.608667424,-77.0036138952
4.0,22012326.0,215.741630398,-115.787501515,2802.25,-232.570318898,-76.565288228
4.0,21112308.0,229.941701696,-46.5200561336,2794.85,-218.370247599,-85.7422694201
4.0,21102307.0,229.870233987,-45.7031764811,2793.75,-218.441715308,-84.9253897677
4.0,21102306.0,229.722069225,-44.0096454944,2793.75,-218.589880071,-83.2318587809
4.0,21012305.0,229.458858882,-41.0011375061,2792.25,-218.853090414,-80.2233507927
4.0,21012304.0,229.310694119,-39.3076065194,2792.25,-219.001255176,-78.5298198059
4.0,21012303.0,229.162529356,-37.6140755326,2792.25,-219.149419939,-76.8362888192
4.0,21012302.0,229.014364594,-35.9205445459,2792.25,-219.297584702,-75.1427578324
4.0,21012301.0,228.866199831,-34.2270135591,2792.25,-219.445749464,-73.4492268457
4.0,21102298.0,228.536751123,-30.4613976003,2793.75,-219.775198172,-69.6836108869
4.0,21112297.0,228.311889307,-27.8912152792,2794.85,-220.000059988,-67.1134285658
4.0,22002309.0,218.183734309,-87.874126074,2801.15,-230.128214986,-48.6519127875
4.0,22012309.0,218.260431363,-86.9974747397,2802.25,-230.051517932,-47.7752614532
4.0,23002301.0,225.012214055,-54.9237730752,2811.15,-225.012214055,-54.9237730752
4.0,23012302.0,225.012214055,-55.7437730752,2812.25,-225.012214055,-55.7437730752
4.0,23112316.0,225.012214055,-79.9837730752,2814.85,-225.012214055,-79.9837730752
4.0,23002316.0,225.012214055,-80.4237730752,2811.15,-225.012214055,-80.4237730752
4.0,22112324.0,215.999611396,-112.838765208,2804.85,-232.312337899,-73.6165519217
4.0,22102323.0,216.071079105,-112.021885556,2803.75,-232.24087019,-72.7996722692
4.0,22012324.0,216.037959923,-112.400439541,2802.25,-232.273989372,-73.1782262545
4.0,22002323.0,216.109427632,-111.583559889,2801.15,-232.202521663,-72.3613466021
4.0,21112303.0,229.200877883,-38.0524011998,2794.85,-219.111071412,-77.2746144863
4.0,21112302.0,229.05271312,-36.358870213,2794.85,-219.259236175,-75.5810834996
4.0,21112301.0,228.904548358,-34.6653392263,2794.85,-219.407400938,-73.8875525128
4.0,22002311.0,217.887404784,-91.2611880475,2801.15,-230.424544511,-52.038974761
4.0,22012311.0,217.964101838,-90.3845367132,2802.25,-230.347847458,-51.1623234267
4.0,22102310.0,217.99722102,-90.0059827279,2803.75,-230.314728275,-50.7837694414
4.0,22112310.0,218.073918074,-89.1293313936,2804.85,-230.238031222,-49.9071181071
4.0,23002303.0,225.012214055,-58.3237730752,2811.15,-225.012214055,-58.3237730752
4.0,23112305.0,225.012214055,-61.2837730752,2814.85,-225.012214055,-61.2837730752
4.0,23112311.0,225.012214055,-71.4837730752,2814.85,-225.012214055,-71.4837730752
4.0,23102311.0,225.012214055,-72.3637730752,2813.75,-225.012214055,-72.3637730752
4.0,23012312.0,225.012214055,-72.7437730752,2812.25,-225.012214055,-72.7437730752
4.0,23012304.0,225.012214055,-59.1437730752,2812.25,-225.012214055,-59.1437730752
4.0,23102303.0,225.012214055,-58.7637730752,2813.75,-225.012214055,-58.7637730752
4.0,23112304.0,225.012214055,-59.5837730752,2814.85,-225.012214055,-59.5837730752
4.0,23002314.0,225.012214055,-77.0237730752,2811.15,-225.012214055,-77.0237730752
4.0,22112317.0,217.036764735,-100.984048301,2804.85,-231.27518456,-61.7618350144
4.0,22102316.0,217.108232444,-100.167168648,2803.75,-231.203716851,-60.9449553619
4.0,22012316.0,217.223278024,-98.852191647,2802.25,-231.088671271,-59.6299783604
4.0,22002315.0,217.294745733,-98.0353119946,2801.15,-231.017203562,-58.813098708
4.0,22002309.0,218.183734309,-87.874126074,2801.15,-230.128214986,-48.6519127875
4.0,22012309.0,218.260431363,-86.9974747397,2802.25,-230.051517932,-47.7752614532
4.0,23002305.0,225.012214055,-61.7237730752,2811.15,-225.012214055,-61.7237730752
4.0,23102306.0,225.012214055,-63.8637730752,2813.75,-225.012214055,-63.8637730752
4.0,23112307.0,225.012214055,-64.6837730752,2814.85,-225.012214055,-64.6837730752
4.0,23112311.0,225.012214055,-71.4837730752,2814.85,-225.012214055,-71.4837730752
4.0,23102311.0,225.012214055,-72.3637730752,2813.75,-225.012214055,-72.3637730752
4.0,22112315.0,217.33309426,-97.5969863274,2804.85,-230.978855035,-58.3747730408
4.0,22102314.0,217.404561969,-96.780106675,2803.75,-230.907387326,-57.5578933884
4.0,22012314.0,217.51960755,-95.4651296735,2802.25,-230.792341746,-56.2429163869
4.0,22002313.0,217.591075259,-94.648250021,2801.15,-230.720874037,-55.4260367345
4.0,22002312.0,217.739240021,-92.9547190343,2801.15,-230.572709274,-53.7325057477
4.0,22002311.0,217.887404784,-91.2611880475,2801.15,-230.424544511,-52.038974761
4.0,22002310.0,218.035569547,-89.5676570608,2801.15,-230.276379749,-50.3454437742
4.0,22012309.0,218.260431363,-86.9974747397,2802.25,-230.051517932,-47.7752614532
4.0,22102308.0,218.293550545,-86.6189207544,2803.75,-230.01839875,-47.3967074679
4.0,22112308.0,218.370247599,-85.7422694201,2804.85,-229.941701696,-46.5200561336
