event_id,det_id,track_id,xtop,ytop,z,xbot,ybot,StatNb,ViewNb,PlaneNb,LayerNb,StrawNb
11.0,10002254.0,4.0,225.012214055,24.9762269248,2581.15,-225.012214055,24.9762269248,1.0,0.0,0.0,0.0,254.0
11.0,10112254.0,4.0,225.012214055,25.4162269248,2584.85,-225.012214055,25.4162269248,1.0,0.0,1.0,1.0,254.0
11.0,11012246.0,4.0,220.717137884,58.9171907125,2592.25,-227.594811411,19.6949774259,1.0,1.0,0.0,1.0,246.0
11.0,11112246.0,4.0,220.755486411,58.4788650453,2594.85,-227.556462884,19.2566517588,1.0,1.0,1.0,1.0,246.0
11.0,12002262.0,4.0,225.147478155,-8.27816969649,2601.15,-223.16447114,30.9440435901,1.0,2.0,0.0,0.0,262.0
11.0,12102262.0,4.0,225.109129628,-8.71649536365,2603.75,-223.202819667,30.5057179229,1.0,2.0,1.0,0.0,262.0
11.0,12112262.0,4.0,225.185826682,-7.83984402933,2604.85,-223.126122614,31.3823692572,1.0,2.0,1.0,1.0,262.0
11.0,13012254.0,4.0,225.012214055,25.8562269248,2612.25,-225.012214055,25.8562269248,1.0,3.0,0.0,1.0,254.0
11.0,13112254.0,4.0,225.012214055,25.4162269248,2614.85,-225.012214055,25.4162269248,1.0,3.0,1.0,1.0,254.0
11.0,20002252.0,4.0,225.012214055,28.3762269248,2781.15,-225.012214055,28.3762269248,2.0,0.0,0.0,0.0,252.0
11.0,20112252.0,4.0,225.012214055,28.8162269248,2784.85,-225.012214055,28.8162269248,2.0,0.0,1.0,1.0,252.0
11.0,21002243.0,4.0,220.34934065,63.1211323384,2791.15,-227.962608646,23.8989190519,2.0,1.0,0.0,0.0,243.0
11.0,21102243.0,4.0,220.387689176,62.6828066713,2793.75,-227.924260119,23.4605933847,2.0,1.0,1.0,0.0,243.0
11.0,22012261.0,4.0,225.372339971,-5.70798737541,2802.25,-222.939609324,33.5142259111,2.0,2.0,0.0,1.0,261.0
11.0,22102260.0,4.0,225.405459153,-5.32943339014,2803.75,-222.906490142,33.8927798964,2.0,2.0,1.0,0.0,260.0
11.0,23012252.0,4.0,225.012214055,29.2562269248,2812.25,-225.012214055,29.2562269248,2.0,3.0,0.0,1.0,252.0
11.0,23102251.0,4.0,225.012214055,29.6362269248,2813.75,-225.012214055,29.6362269248,2.0,3.0,1.0,0.0,251.0
11.0,23112252.0,4.0,225.012214055,28.8162269248,2814.85,-225.012214055,28.8162269248,2.0,3.0,1.0,1.0,252.0
11.0,30002274.0,4.0,249.9992,34.2,3321.15,-249.9992,34.2,3.0,0.0,0.0,0.0,274.0
11.0,30102274.0,4.0,249.9992,33.76,3323.75,-249.9992,33.76,3.0,0.0,1.0,0.0,274.0
11.0,30112274.0,4.0,249.9992,34.64,3324.85,-249.9992,34.64,3.0,0.0,1.0,1.0,274.0
11.0,31012265.0,4.0,244.656971248,71.9771548522,3332.25,-253.438783887,28.3994229275,3.0,1.0,0.0,1.0,265.0
11.0,31102264.0,4.0,244.623852065,72.3557088375,3333.75,-253.471903069,28.7779769128,3.0,1.0,1.0,0.0,264.0
11.0,32002284.0,4.0,250.546956342,-4.65431715514,3341.15,-247.548798792,38.9234147695,3.0,2.0,0.0,0.0,284.0
11.0,32012284.0,4.0,250.623653396,-3.77766582082,3342.25,-247.472101738,39.8000661038,3.0,2.0,0.0,1.0,284.0
11.0,32112284.0,4.0,250.585304869,-4.21599148798,3344.85,-247.510450265,39.3617404367,3.0,2.0,1.0,1.0,284.0
11.0,33002274.0,4.0,249.9992,34.2,3351.15,-249.9992,34.2,3.0,3.0,0.0,0.0,274.0
11.0,33112274.0,4.0,249.9992,34.64,3354.85,-249.9992,34.64,3.0,3.0,1.0,1.0,274.0
11.0,40002274.0,4.0,249.9992,34.2,3521.15,-249.9992,34.2,4.0,0.0,0.0,0.0,274.0
11.0,40112274.0,4.0,249.9992,34.64,3524.85,-249.9992,34.64,4.0,0.0,1.0,1.0,274.0
11.0,41002264.0,4.0,244.585503538,72.7940345046,3531.15,-253.510251596,29.21630258,4.0,1.0,0.0,0.0,264.0
11.0,41112264.0,4.0,244.547155012,73.2323601718,3534.85,-253.548600123,29.6546282471,4.0,1.0,1.0,1.0,264.0
11.0,42002284.0,4.0,250.546956342,-4.65431715514,3541.15,-247.548798792,38.9234147695,4.0,2.0,0.0,0.0,284.0
11.0,42102284.0,4.0,250.508607816,-5.0926428223,3543.75,-247.587147319,38.4850891023,4.0,2.0,1.0,0.0,284.0
